rank_x,Economy,Income Group(Strength/Weakness),Strength / Weakness,Score_x,rank_y,Score_y
1.0,Switzerland,,Strength,67.7,1.0,68.4
2.0,Sweden,,Strength,63.8,3.0,63.1
3.0,Netherlands,,Strength,63.4,2.0,63.3
4.0,United States of America,,,61.4,6.0,59.8
5.0,United Kingdom,,,60.9,4.0,60.1
6.0,Denmark,,Strength,58.7,8.0,58.4
7.0,Singapore,,,58.7,5.0,59.8
8.0,Finland,,,58.5,7.0,59.6
9.0,Germany,,,58.4,9.0,58.0
10.0,Ireland,,,58.1,10.0,57.2
11.0,"Korea, Republic of",,,57.7,12.0,56.6
12.0,Luxembourg,,,56.4,15.0,54.5
13.0,Iceland,,,55.8,23.0,51.2
14.0,Japan,,,54.7,13.0,55.0
15.0,France,,,54.2,16.0,54.4
16.0,Hong Kong (China),,,53.9,14.0,54.6
17.0,Israel,,,53.9,11.0,56.8
18.0,Canada,,,53.7,18.0,53.0
19.0,Norway,,,53.1,19.0,52.6
20.0,Austria,,,53.1,21.0,51.3
21.0,New Zealand,,,52.9,22.0,51.3
22.0,China,,,52.5,17.0,53.1
23.0,Australia,,,51.8,20.0,52.0
24.0,Czech Republic,,,51.0,27.0,48.7
25.0,Estonia,,,50.9,24.0,50.5
26.0,Malta,,,50.6,26.0,50.3
27.0,Belgium,,,49.9,25.0,50.5
28.0,Spain,,,48.8,28.0,48.7
29.0,Italy,,,47.0,31.0,46.3
30.0,Cyprus,,,46.8,29.0,47.8
31.0,Portugal,,,46.1,32.0,45.7
32.0,Slovenia,,,45.8,30.0,46.9
33.0,Latvia,,,44.6,34.0,43.2
34.0,Slovakia,,,43.4,36.0,42.9
35.0,United Arab Emirates,,,43.2,38.0,42.6
36.0,Bulgaria,,,42.8,37.0,42.6
37.0,Malaysia,,,42.7,35.0,43.0
38.0,Poland,,,42.0,39.0,41.7
39.0,Hungary,,,41.7,33.0,44.9
40.0,Lithuania,,,41.2,40.0,41.2
41.0,Croatia,,,39.8,41.0,40.7
42.0,Romania,,,39.2,49.0,37.6
43.0,Turkey,,,38.9,50.0,37.4
44.0,Greece,,,38.8,42.0,38.9
45.0,Russian Federation,,,38.8,46.0,37.9
46.0,Chile,,,38.7,47.0,37.8
47.0,Viet Nam,,,38.3,45.0,37.9
48.0,Montenegro,,,38.1,52.0,36.5
49.0,Qatar,,,37.9,51.0,36.6
50.0,Ukraine,,,37.6,43.0,38.5
51.0,Thailand,,,37.6,44.0,38.0
52.0,Mongolia,,,37.1,53.0,35.9
53.0,Costa Rica,,,37.1,54.0,35.7
54.0,"Moldova, Republic of",,,36.8,48.0,37.6
55.0,Saudi Arabia,,,36.2,61.0,34.3
56.0,Kuwait,,,36.1,60.0,34.4
57.0,South Africa,,,35.8,58.0,35.1
58.0,Mexico,,,35.8,56.0,35.3
59.0,Armenia,,,35.7,68.0,32.8
60.0,India,,,35.5,57.0,35.2
61.0,TFYR Macedonia,,,35.4,84.0,29.9
62.0,Serbia,,,35.3,55.0,35.5
63.0,Panama,,,35.0,70.0,32.4
64.0,Mauritius,,,34.8,75.0,31.3
65.0,Colombia,,,34.8,63.0,33.8
66.0,Bahrain,,,34.7,72.0,31.7
67.0,Uruguay,,,34.5,62.0,34.2
68.0,Georgia,,,34.4,59.0,35.0
69.0,Brazil,,,33.1,64.0,33.4
70.0,Peru,,,32.9,71.0,31.8
71.0,Brunei Darussalam,,,32.9,67.0,32.8
72.0,Morocco,,,32.7,76.0,31.1
73.0,Philippines,,,32.5,73.0,31.6
74.0,Tunisia,,,32.3,66.0,32.9
75.0,"Iran, Islamic Republic of",,,32.1,65.0,33.4
76.0,Argentina,,,32.0,80.0,30.7
77.0,Oman,,,31.8,69.0,32.8
78.0,Kazakhstan,,,31.5,74.0,31.4
79.0,Dominican Republic,,,31.2,87.0,29.3
80.0,Kenya,,,31.0,78.0,31.1
81.0,Lebanon,,,30.6,90.0,28.2
82.0,Azerbaijan,,,30.6,82.0,30.2
83.0,Jordan,,,30.5,79.0,30.8
84.0,Jamaica,,,30.4,81.0,30.4
85.0,Paraguay,,,30.3,89.0,28.7
86.0,Bosnia and Herzegovina,,,30.2,77.0,31.1
87.0,Indonesia,,,30.1,85.0,29.8
88.0,Belarus,,,30.0,86.0,29.4
89.0,Botswana,,,30.0,91.0,28.2
90.0,Sri Lanka,,,29.9,88.0,28.7
91.0,Trinidad and Tobago,,,29.7,96.0,27.0
92.0,Ecuador,,,29.1,97.0,26.8
93.0,Albania,,,28.9,83.0,30.0
94.0,Tajikistan,,,28.2,101.0,26.5
95.0,Kyrgyzstan,,,28.0,94.0,27.6
96.0,"Tanzania, United Republic of",,,28.0,92.0,28.1
97.0,Namibia,,,27.9,93.0,28.0
98.0,Guatemala,,,27.9,102.0,25.5
99.0,Rwanda,,,27.4,99.0,26.5
100.0,Senegal,,,27.1,100.0,26.5
101.0,Cambodia,,,27.0,98.0,26.7
102.0,Uganda,,,27.0,103.0,25.3
103.0,El Salvador,,,26.7,104.0,25.1
104.0,Honduras,,,26.4,105.0,24.9
105.0,Egypt,,,26.0,95.0,27.2
106.0,"Bolivia, Plurinational State of",,,25.6,117.0,22.9
107.0,Mozambique,,,24.5,115.0,23.1
108.0,Algeria,,,24.3,110.0,23.9
109.0,Nepal,,,24.2,108.0,24.2
110.0,Ethiopia,,,24.2,,
111.0,Madagascar,,,24.2,106.0,24.8
112.0,Cote dIvoire,,,24.0,,
113.0,Pakistan,,,23.8,109.0,24.1
114.0,Bangladesh,,,23.7,116.0,23.1
115.0,Malawi,,,23.5,114.0,23.1
116.0,Benin,,,23.0,121.0,20.6
117.0,Cameroon,,,22.6,111.0,23.8
118.0,Mali,,,22.5,112.0,23.3
119.0,Nigeria,,,21.9,118.0,22.4
120.0,Burkina Faso,,Weakness,21.9,124.0,18.9
121.0,Zimbabwe,,,21.8,113.0,23.1
122.0,Burundi,,,21.3,,
123.0,Niger,,,21.2,122.0,20.6
124.0,Zambia,,Weakness,20.8,120.0,20.7
125.0,Togo,,Weakness,18.4,125.0,18.9
126.0,Guinea,,Weakness,17.4,119.0,20.7
127.0,Yemen,,Weakness,15.6,126.0,15.0
,Ghana,,,,107.0,24.5
,C̫te d'Ivoire,,,,123.0,20.0
